Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,43,5
3/14/2020,295,73,48,5
3/15/2020,363,68,54,6
3/16/2020,513,150,57,3
3/17/2020,762,249,65,8
3/18/2020,1021,259,72,7
3/19/2020,1299,278,78,6
3/20/2020,1687,388,88,10
3/21/2020,2008,321,98,10
3/22/2020,2294,286,102,4
3/23/2020,2903,609,113,11
3/24/2020,3622,719,124,11
3/25/2020,4368,746,135,11
3/26/2020,5304,936,139,4
3/27/2020,6247,943,145,6
3/28/2020,6902,655,153,8
3/29/2020,7425,523,158,5
3/30/2020,8663,1238,160,2
3/31/2020,9928,1265,164,4
4/1/2020,11265,1337,170,6
4/2/2020,12542,1277,176,6
4/3/2020,14022,1480,183,7
4/4/2020,15185,1163,189,6
4/5/2020,16161,976,196,7
4/6/2020,18093,1932,202,6
4/7/2020,20117,2024,210,8
4/8/2020,21983,1866,218,8
4/9/2020,23963,1980,229,11
4/10/2020,26016,2053,236,7
4/11/2020,27313,1297,243,7
4/12/2020,28243,930,256,13
4/13/2020,30246,2003,262,6
4/14/2020,33121,2875,267,5
4/15/2020,35719,2598,280,13
4/16/2020,38108,2389,287,7
4/17/2020,41116,3008,305,18
4/18/2020,42599,1483,311,6
4/19/2020,43690,1091,315,4
4/20/2020,46386,2696,329,14
4/21/2020,48582,2196,347,18
4/22/2020,51298,2716,377,30
4/23/2020,53714,2416,404,27
4/24/2020,55996,2282,469,65
4/25/2020,57494,1498,493,24
4/26/2020,58342,848,524,31
4/27/2020,60468,2126,596,72
4/28/2020,62576,2108,659,63
4/29/2020,64763,2187,743,84
4/30/2020,66812,2049,842,99
5/1/2020,68898,2086,937,95
5/2/2020,69935,1037,996,59
5/3/2020,70670,735,1029,33
5/4/2020,72557,1887,1164,135
5/5/2020,74297,1740,1291,127
5/6/2020,76007,1710,1432,141
5/7/2020,77698,1691,1553,121
5/8/2020,79159,1461,1647,94
5/9/2020,79843,684,1680,33
5/10/2020,80229,386,1741,61
5/11/2020,81546,1317,1852,111
5/12/2020,83007,1461,1969,117
5/13/2020,84334,1327,2099,130
5/14/2020,85655,1321,2226,127
5/15/2020,86767,1112,2322,96
5/16/2020,87420,653,2360,38
5/17/2020,87787,367,2406,46
5/18/2020,89108,1321,2506,100
5/19/2020,90198,1090,2628,122
5/20/2020,91227,1029,2733,105
5/21/2020,92219,992,2871,138
5/22/2020,93095,876,2979,108
5/23/2020,93488,393,3017,38
5/24/2020,93791,303,3057,40
5/25/2020,93991,200,3114,57
5/26/2020,94876,885,3214,100
5/27/2020,95587,711,3322,108
5/28/2020,96241,654,3441,119
5/29/2020,96774,533,3533,92
5/30/2020,97049,275,3568,35
5/31/2020,97213,164,3603,35
6/1/2020,97728,515,3668,65
6/2/2020,98175,447,3719,51
6/3/2020,98646,471,3795,76
6/4/2020,99039,393,3847,52
6/5/2020,99382,343,3942,95
6/6/2020,99530,148,3972,30
6/7/2020,99681,151,3992,20
6/8/2020,100041,360,4063,71
6/9/2020,100389,348,4143,80
6/10/2020,100642,253,4242,99
6/11/2020,100873,231,4321,79
6/12/2020,101127,254,4370,49
6/13/2020,101225,98,4389,19
6/14/2020,101302,77,4414,25
6/15/2020,101546,244,4483,69
6/16/2020,101749,203,4541,58
6/17/2020,102003,254,4625,84
6/18/2020,102246,243,4688,63
6/19/2020,102426,180,4741,53
6/20/2020,102518,92,4756,15
6/21/2020,102596,78,4772,16
6/22/2020,102827,231,4830,58
6/23/2020,103014,187,4918,88
6/24/2020,103219,205,4985,67
6/25/2020,103413,194,5055,70
6/26/2020,103540,127,5124,69
6/27/2020,103621,81,5136,12
6/28/2020,103660,39,5151,15
6/29/2020,103700,40,5181,30
6/30/2020,103701,1,5181,0
