Date,Male,Female,Unknown
6/1/2020,44373,54922,1510
6/2/2020,44518,55126,1519
6/3/2020,44749,55354,1489
6/4/2020,44972,55600,1491
6/5/2020,45192,55879,1486
6/6/2020,45453,56199,1480
6/7/2020,45564,56392,1480
6/8/2020,45641,56489,1496
6/9/2020,45767,56630,1492
6/10/2020,45893,56791,1472
6/11/2020,46137,57050,1480
6/12/2020,46308,57266,1485
6/13/2020,46459,57448,1488
6/14/2020,46558,57553,1492
6/15/2020,46593,57603,1494
6/16/2020,46685,57715,1485
6/17/2020,46792,57875,1484
6/18/2020,46933,58022,1467
6/19/2020,47051,58133,1466
6/20/2020,47182,58283,1471
6/21/2020,47235,58348,1478
6/22/2020,47302,58439,1469
6/23/2020,47409,58568,1462
6/24/2020,47487,58659,1465
6/25/2020,47587,58783,1467
6/26/2020,47711,58896,1463
6/27/2020,47874,59095,1474
6/28/2020,47976,59219,1472
6/29/2020,48025,59274,1469
6/30/2020,48064,59354,1464
